site,year,month,day_frac_T4,day_frac_arh,logger,T4_mean,T4_absmax,T4_absmin,T4_meanmax,T4_meanmin,arh_sd,arh_cv,arh_med,arh_mean,arh_absmax,arh_absmin,T4_TDD,T4_GDD3,T4_GDD5,T4_FDD,T4_TDD_days,T4_GDD3_days,T4_GDD5_days,T4_FDD_days
40,2019,12,0.12903225806451613,0.12903225806451613,a,-4.16,2.7,-14.6,-1.38,-7.52,1.99,0.02,97.8,97.4,100,90.9,1.74,0,0,-18.39,1,0,0,3
40,2020,1,1,1,a,-2.11,4.7,-17,-0.29,-4.02,3.46,0.04,97.3,96.2,100,79.1,14.78,0,0,-80.34,11,0,0,20
40,2020,2,1,1,a,-3.39,3.8,-17,-1.16,-5.81,4.75,0.05,96.9,95.3,100,71.5,11.53,0,0,-109.87,10,0,0,19
40,2020,3,1,1,a,-1.23,8.9,-10.9,2.11,-4.69,14.75,0.18,83.8,80.6,100,34.2,27.19,15.97,5.18,-65.3,12,4,1,19
40,2020,4,1,1,a,0.73,12.7,-8.9,4.72,-2.95,11.26,0.14,78.2,78.2,100,31.3,35.31,20.6,5.13,-13.29,19,5,1,11
40,2020,5,1,1,a,7.86,23.5,-2.9,13.22,2.36,16.19,0.26,57.1,63.2,100,25,243.6,236.45,207.02,0,31,28,21,0
40,2020,6,1,1,a,17.78,31.5,6.8,23.2,12.55,12.9,0.21,57.7,61.9,100,29.8,533.48,533.48,533.48,0,30,30,30,0
40,2020,7,1,1,a,15.47,27.6,9,19.78,11.68,10.96,0.14,77.4,79.6,100,40.8,479.42,479.42,479.42,0,31,31,31,0
40,2020,8,1,1,a,14.83,27.6,6.7,19.05,11.1,7.02,0.09,83.3,82.2,100,49.6,459.84,459.84,459.84,0,31,31,31,0
40,2020,9,1,1,a,10.53,18.2,1.3,13.66,7.54,6.25,0.07,91.2,91,100,54.6,316.03,316.03,316.03,0,30,30,30,0
40,2020,10,0.7096774193548387,0.7096774193548387,a,6.26,14.2,-2.3,8.07,4.53,3.11,0.03,99.2,97.8,100,76.6,140.15,133.37,126.18,-2.41,20,15,13,2
40,2020,12,0.5806451612903226,0.5806451612903226,a,-2.49,3.3,-8.4,-0.85,-4.11,0.67,0.01,99.6,99.4,100,96.1,5.5,0,0,-50.35,3,0,0,15
40,2021,1,1,1,a,-8.59,0.4,-28.7,-6.58,-11.06,3.81,0.04,98.4,96.8,100,85.1,0.22,0,0,-266.65,3,0,0,28
40,2021,2,1,1,a,-12.26,2,-26.6,-9.65,-14.97,3.15,0.03,94.6,94.3,100,80.2,1.12,0,0,-344.5,2,0,0,26
40,2021,3,1,1,a,-3.37,10.4,-29,0.63,-6.97,8.3,0.1,86.8,86.1,100,43.8,28.88,17.58,0,-133.34,11,4,0,20
40,2021,4,1,1,a,2.9,15.9,-4.3,6.93,-0.82,15.56,0.2,81.3,77.2,100,30.6,87.74,63.19,52.88,-0.62,29,11,8,1
40,2021,5,1,1,a,9.3,29.5,-3.1,14.45,4.82,17.76,0.24,76.2,73.8,100,26.3,288.43,284.02,267.52,0,31,27,23,0
40,2021,6,0.8333333333333334,0.8333333333333334,a,18.34,32.6,5.8,23.57,12.89,14.34,0.22,64.2,64.4,98.6,28.4,458.38,458.38,458.38,0,25,25,25,0
41,2019,9,0.5333333333333333,0.5333333333333333,a,4.99,10.2,-0.8,7.34,2.71,8.25,0.09,88.6,87.6,98.6,56.6,79.84,71.35,56.48,0,16,12,8,0
41,2019,10,1,1,a,1.66,9.3,-5.8,3.17,-0.07,3.51,0.04,98.2,96.8,100,82,64.51,46.65,33.29,-13.03,22,8,5,9
